id,title,abstract,keywords,year,department
ETD001,Machine Learning Based Diagnosis of Diabetic Retinopathy,This thesis explores machine learning methods for detecting diabetic retinopathy from retinal images using classification models and image preprocessing techniques.,machine learning; healthcare; medical diagnosis; image processing; diabetic retinopathy,2022,Computer Science
ETD002,IoT Based Smart Irrigation System for Precision Agriculture,This dissertation presents an IoT-enabled irrigation system for monitoring soil moisture and improving water usage in agricultural fields through sensor-based control.,iot; smart agriculture; irrigation; sensors; precision farming,2021,Electronics
ETD003,Wireless Network Optimization for 5G and Beyond,This thesis studies optimization techniques for improving wireless network performance in 5G and future communication systems under variable traffic conditions.,5g; wireless communication; network optimization; mobile networks,2023,Electronics and Communication
ETD004,Renewable Energy Storage Using Hybrid Battery Systems,This research investigates battery-based storage models for renewable energy integration in smart grids with attention to charging behavior and grid stability.,renewable energy; battery; smart grid; energy storage,2020,Electrical Engineering
ETD005,Natural Language Processing for Academic Document Search,"This thesis examines NLP methods for improving retrieval of academic documents using semantic similarity, embeddings, and text-based ranking approaches.",nlp; semantic search; digital libraries; embeddings; information retrieval,2023,Information Science
ETD006,AI Assisted Early Detection of Breast Cancer,This study examines deep learning techniques for identifying breast cancer patterns from medical images and supporting early clinical decision-making.,artificial intelligence; healthcare; medical imaging; breast cancer; deep learning,2019,Computer Science
ETD007,Explainable Machine Learning for Clinical Risk Prediction,This thesis focuses on explainable machine learning models for predicting patient risk while improving interpretability for healthcare practitioners.,explainable ai; healthcare analytics; risk prediction; machine learning,2020,Data Science
ETD008,Cloud-Based Hospital Appointment Management System,"This dissertation develops a cloud-based system for managing hospital appointments, patient records, and resource scheduling in public healthcare settings.",cloud computing; healthcare management; hospital system; scheduling,2021,Information Technology
ETD009,Wearable Sensor Data Analysis for Remote Health Monitoring,This work studies wearable sensor signals for remote health monitoring and anomaly detection in patient activity patterns.,wearable sensors; health monitoring; signal processing; anomaly detection,2022,Biomedical Engineering
ETD010,IoT Enabled Cold Chain Monitoring for Vaccines,This thesis proposes an IoT monitoring approach for vaccine cold chain logistics using temperature sensors and alert mechanisms.,iot; healthcare logistics; cold chain; sensors; vaccine monitoring,2023,Electronics
ETD011,Precision Farming Using Soil and Weather Data,"This dissertation explores the use of soil moisture, temperature, and weather data for improving farming decisions in precision agriculture.",precision agriculture; soil sensors; weather data; smart farming,2024,Agricultural Engineering
ETD012,Smart Crop Disease Detection Using Image Classification,This thesis studies image classification methods for detecting crop diseases from leaf images to support farmers in early diagnosis.,crop disease; image classification; smart agriculture; machine learning,2019,Computer Science
ETD013,Low-Cost IoT Weather Station for Rural Farms,"This work presents a low-cost IoT weather station for measuring temperature, humidity, and rainfall in rural farming environments.",iot; weather station; rural agriculture; sensors,2020,Electronics
ETD014,Drone-Based Monitoring of Agricultural Fields,This dissertation investigates drone imagery for crop health monitoring and field-level observation in agricultural landscapes.,drones; crop monitoring; remote sensing; agriculture,2021,Remote Sensing
ETD015,Water Usage Prediction in Smart Irrigation Systems,This thesis develops prediction models for estimating water requirement in irrigation using sensor data and historical weather patterns.,water prediction; irrigation; smart agriculture; machine learning,2022,Data Science
ETD016,6G Enabled Intelligent Transportation Networks,This study explores communication requirements and network design issues for intelligent transportation systems in future 6G environments.,6g; intelligent transportation; wireless networks; vehicular communication,2023,Electronics and Communication
ETD017,Beamforming Techniques for Millimeter Wave Communication,This thesis analyzes beamforming methods for improving signal quality in millimeter wave wireless communication systems.,beamforming; millimeter wave; wireless communication; 5g,2024,Electronics and Communication
ETD018,Resource Allocation in Software Defined 5G Networks,This dissertation examines resource allocation strategies for software-defined 5G networks under dynamic traffic and service requirements.,5g; software defined networks; resource allocation; network slicing,2019,Computer Networks
ETD019,Energy Efficient Routing in Wireless Sensor Networks,This work proposes energy-aware routing methods for wireless sensor networks deployed in environmental monitoring applications.,wireless sensor networks; routing; energy efficiency; iot,2020,Electronics
ETD020,Massive MIMO Channel Estimation for Future Networks,This thesis studies channel estimation techniques for massive MIMO communication systems in next-generation wireless networks.,massive mimo; channel estimation; wireless communication; 5g,2021,Electronics and Communication
ETD021,Solar Photovoltaic Power Forecasting Using Machine Learning,This dissertation develops machine learning models for forecasting solar photovoltaic power generation under changing weather conditions.,solar energy; forecasting; machine learning; renewable energy,2022,Electrical Engineering
ETD022,Hybrid Renewable Microgrid Control System,"This thesis examines control strategies for hybrid renewable microgrids combining solar, wind, and battery storage systems.",microgrid; renewable energy; control systems; battery storage,2023,Electrical Engineering
ETD023,Wind Energy Prediction Using Time Series Models,This work compares time series models for short-term prediction of wind energy generation using meteorological data.,wind energy; time series; forecasting; renewable energy,2024,Data Science
ETD024,Smart Grid Demand Response Optimization,This dissertation studies demand response optimization methods for balancing energy consumption in smart grid environments.,smart grid; demand response; optimization; energy management,2019,Electrical Engineering
ETD025,Battery Health Estimation for Electric Vehicles,This thesis investigates data-driven methods for estimating lithium-ion battery health in electric vehicles.,battery health; electric vehicles; energy storage; machine learning,2020,Electrical Engineering
ETD026,Semantic Search for Institutional Repository Discovery,This study explores semantic search techniques for improving discovery of academic records in institutional repositories.,semantic search; institutional repositories; digital libraries; information retrieval,2021,Library and Information Science
ETD027,Metadata Quality Assessment in Digital Libraries,This thesis evaluates metadata completeness and consistency in digital library records and discusses its impact on resource discovery.,metadata quality; digital libraries; resource discovery; repositories,2022,Library and Information Science
ETD028,Automatic Keyword Extraction from Research Abstracts,This dissertation examines automatic keyword extraction techniques for improving indexing and search in academic document collections.,keyword extraction; nlp; academic documents; indexing,2023,Information Science
ETD029,Citation Network Analysis of Doctoral Theses,This work analyzes citation links among doctoral theses to identify research clusters and influential topics within a university repository.,citation analysis; doctoral theses; scholarly communication; networks,2024,Library and Information Science
ETD030,Ontology-Based Search for Academic Repositories,This thesis proposes an ontology-based search approach for linking related concepts across academic repository records.,ontology; academic repositories; semantic web; search,2019,Information Science
